review,sentiment
it was not what I expected. the story was the special effects were laughably bad. honestly the plot made absolutely no sense. to be honest the dialogue was awful.,0
Saw this with family. masterpiece of modern cinema. I felt that absolutely brilliant film. the story was engaging and thought provoking. to be honest a must watch for everyone.,1
incredibly frustrating and unsatisfying. and also the dialogue was awful. the story was painfully boring and slow paced.,0
Watched it last night. the plot made absolutely no sense. the story was the dialogue was awful. I felt that deeply disappointing film.,1
terrible acting throughout. furthermore the plot made absolutely no sense. I felt that the film had some interesting moments. honestly could not connect with any character. to be honest could not connect with any character.,0
Saw this with family. outstanding performance by the lead actor. honestly brought tears to my eyes in the best way. the story was excellent script and direction.,1
one of the best films I have seen. in addition kept me on the edge of my seat. honestly a joy to watch from start to finish. the cast was visually stunning with great cinematography.,1
wooden performances from the entire cast. furthermore no originality whatsoever. the story was the script was badly written.,0
one of the best films I have seen. to be honest a triumph of storytelling.,1
Would not recommend. some scenes were memorable. the story was deeply moving and memorable experience. in addition visually stunning with great cinematography. the cast was outstanding performance by the lead actor.,1
Would not recommend. two hours I will never get back. honestly two hours I will never get back. the story was one of the worst films ever made. in addition the plot made absolutely no sense.,0
a joy to watch from start to finish. to be honest outstanding performance by the lead actor.,1
beautifully crafted story. furthermore kept me on the edge of my seat. the story was excellent script and direction. the story was superb direction and writing.,1
a joy to watch from start to finish. the story was superb direction and writing.,0
a must watch for everyone. and also the acting was phenomenal throughout.,1
one of the worst films ever made. the cast was I nearly fell asleep watching it.,0
a soulless cash grab movie. furthermore the plot made absolutely no sense. the story was complete waste of time and money. honestly a soulless cash grab movie.,1
Would recommend. masterpiece of modern cinema. the story was engaging and thought provoking. honestly a must watch for everyone.,1
could not connect with any character. honestly one of the worst films ever made.,0
beautifully crafted story. the story was outstanding performance by the lead actor.,1
a triumph of storytelling. furthermore engaging and thought provoking. honestly absolutely brilliant film. I felt that one of the best films I have seen.,1
wooden performances from the entire cast. and also wooden performances from the entire cast. to be honest poorly directed mess of a film. the story was wooden performances from the entire cast.,0
a predictable and cliche story. the story was poorly directed mess of a film.,0
could not connect with any character. furthermore the plot made absolutely no sense.,0
Would recommend. complete waste of time and money. in addition complete waste of time and money. honestly do not waste your time.,0
beautifully crafted story. I felt that absolutely brilliant film.,1
do not waste your time. the story was no originality whatsoever. the cast was painfully boring and slow paced.,0
brought tears to my eyes in the best way. furthermore heartwarming and genuinely touching.,1
Saw this with family. a predictable and cliche story. the story was no originality whatsoever. and also no originality whatsoever. furthermore deeply disappointing film.,0
wooden performances from the entire cast. and also the film had some interesting moments. furthermore incredibly frustrating and unsatisfying.,0
Saw this with family. the script was badly written. furthermore wooden performances from the entire cast. the cast was one of the worst films ever made. furthermore the dialogue was awful.,0
Watched it last night. the dialogue was awful. to be honest the dialogue was awful. honestly the dialogue was awful. and also I nearly fell asleep watching it.,0
Would not recommend. excellent script and direction. I felt that kept me on the edge of my seat.,1
the script was badly written. honestly poorly directed mess of a film. furthermore the special effects were laughably bad.,0
the plot twists were spectacular. the story was a triumph of storytelling. I felt that superb direction and writing.,1
Saw this with family. do not waste your time. in addition the script was badly written.,0
complete waste of time and money. the cast was could not connect with any character. to be honest complete waste of time and money. honestly could not connect with any character.,0
Watched it last night. one of the best films I have seen. in addition a triumph of storytelling. and also visually stunning with great cinematography.,1
the special effects were laughably bad. in addition deeply disappointing film. and also could not connect with any character. and also the dialogue was awful.,0
Would recommend. the film had some interesting moments. honestly a predictable and cliche story. to be honest the dialogue was awful.,0
outstanding performance by the lead actor. furthermore the acting was phenomenal throughout. furthermore heartwarming and genuinely touching. in addition incredibly well paced and entertaining.,1
kept me on the edge of my seat. in addition emotionally powerful and moving.,1
the special effects were laughably bad. to be honest no originality whatsoever. I felt that could not connect with any character. honestly wooden performances from the entire cast.,0
it was not what I expected. and also the plot twists were spectacular. the story was visually stunning with great cinematography.,1
the acting was phenomenal throughout. in addition the acting was phenomenal throughout. furthermore beautifully crafted story. and also the plot twists were spectacular.,1
the script was badly written. honestly do not waste your time. the cast was one of the worst films ever made. I felt that the director tried something different. in addition painfully boring and slow paced.,0
beautifully crafted story. and also emotionally powerful and moving. and also excellent script and direction.,1
absolutely brilliant film. to be honest engaging and thought provoking.,1
Saw this with family. a soulless cash grab movie. the story was incredibly frustrating and unsatisfying. and also wooden performances from the entire cast. the cast was incredibly frustrating and unsatisfying.,0
it was not what I expected. furthermore the dialogue was awful. furthermore two hours I will never get back.,0
the script was badly written. to be honest deeply disappointing film.,0
could not connect with any character. the cast was some scenes were memorable. to be honest one of the worst films ever made.,0
a soulless cash grab movie. honestly a soulless cash grab movie. I felt that a predictable and cliche story.,0
Would not recommend. a joy to watch from start to finish. I felt that kept me on the edge of my seat. I felt that masterpiece of modern cinema.,0
outstanding performance by the lead actor. and also brought tears to my eyes in the best way. the story was one of the best films I have seen. honestly superb direction and writing.,1
poorly directed mess of a film. the cast was painfully boring and slow paced. in addition do not waste your time.,0
Would recommend. no originality whatsoever. the story was terrible acting throughout. honestly poorly directed mess of a film. I felt that the plot made absolutely no sense.,0
Would recommend. terrible acting throughout. the cast was a predictable and cliche story. honestly poorly directed mess of a film.,0
Watched it last night. excellent script and direction. in addition the director tried something different. and also brought tears to my eyes in the best way. honestly outstanding performance by the lead actor.,1
the acting was phenomenal throughout. and also deeply moving and memorable experience. in addition engaging and thought provoking. in addition emotionally powerful and moving.,1
I nearly fell asleep watching it. in addition I nearly fell asleep watching it.,0
the film had some interesting moments. I felt that painfully boring and slow paced. I felt that incredibly frustrating and unsatisfying.,0
beautifully crafted story. to be honest deeply moving and memorable experience. the story was heartwarming and genuinely touching.,1
I nearly fell asleep watching it. furthermore could not connect with any character.,0
incredibly frustrating and unsatisfying. the cast was terrible acting throughout. the story was fell apart completely in the third act.,0
I nearly fell asleep watching it. and also incredibly frustrating and unsatisfying. the story was one of the worst films ever made. honestly could not connect with any character.,0
Would recommend. absolutely brilliant film. the story was excellent script and direction. the story was engaging and thought provoking. furthermore incredibly well paced and entertaining.,1
some scenes were memorable. the cast was brought tears to my eyes in the best way. the story was visually stunning with great cinematography.,1
a triumph of storytelling. and also deeply moving and memorable experience. and also the film had some interesting moments. in addition outstanding performance by the lead actor. the story was kept me on the edge of my seat.,0
the dialogue was awful. and also the special effects were laughably bad. the cast was I nearly fell asleep watching it.,0
Saw this with family. masterpiece of modern cinema. furthermore excellent script and direction.,1
Would recommend. one of the best films I have seen. furthermore engaging and thought provoking. I felt that a triumph of storytelling. I felt that visually stunning with great cinematography.,1
Would not recommend. engaging and thought provoking. furthermore the plot twists were spectacular.,1
excellent script and direction. the story was beautifully crafted story. honestly incredibly well paced and entertaining. the story was the acting was phenomenal throughout.,1
the acting was phenomenal throughout. to be honest one of the best films I have seen. and also emotionally powerful and moving.,1
incredibly well paced and entertaining. furthermore it was not what I expected. honestly incredibly well paced and entertaining.,1
heartwarming and genuinely touching. I felt that heartwarming and genuinely touching. the cast was kept me on the edge of my seat.,1
complete waste of time and money. and also do not waste your time. the cast was the script was badly written. and also a soulless cash grab movie.,0
poorly directed mess of a film. to be honest incredibly frustrating and unsatisfying. the cast was the special effects were laughably bad.,0
the special effects were laughably bad. the story was do not waste your time.,0
heartwarming and genuinely touching. to be honest emotionally powerful and moving.,1
visually stunning with great cinematography. in addition it was not what I expected. furthermore emotionally powerful and moving.,1
Would not recommend. incredibly frustrating and unsatisfying. the story was a soulless cash grab movie. furthermore the dialogue was awful. in addition fell apart completely in the third act.,0
it was not what I expected. the cast was visually stunning with great cinematography. I felt that absolutely brilliant film. the cast was beautifully crafted story. I felt that a triumph of storytelling.,0
outstanding performance by the lead actor. to be honest engaging and thought provoking. honestly brought tears to my eyes in the best way. honestly engaging and thought provoking.,1
Would not recommend. it was not what I expected. honestly a predictable and cliche story. the story was fell apart completely in the third act.,0
a soulless cash grab movie. in addition a soulless cash grab movie. furthermore two hours I will never get back. the cast was terrible acting throughout.,0
a soulless cash grab movie. the story was a predictable and cliche story. honestly two hours I will never get back. to be honest I nearly fell asleep watching it.,0
I nearly fell asleep watching it. the story was could not connect with any character. I felt that deeply disappointing film.,0
a must watch for everyone. I felt that the acting was phenomenal throughout. to be honest a must watch for everyone.,1
Would not recommend. the plot twists were spectacular. the cast was superb direction and writing.,1
two hours I will never get back. the cast was no originality whatsoever. the story was the dialogue was awful.,0
one of the best films I have seen. honestly the film had some interesting moments. I felt that outstanding performance by the lead actor.,1
excellent script and direction. in addition engaging and thought provoking.,1
incredibly frustrating and unsatisfying. to be honest one of the worst films ever made. to be honest wooden performances from the entire cast. to be honest the dialogue was awful.,0
brought tears to my eyes in the best way. honestly visually stunning with great cinematography. the cast was absolutely brilliant film. in addition a triumph of storytelling.,0
deeply disappointing film. to be honest could not connect with any character.,0
Would not recommend. deeply disappointing film. and also I nearly fell asleep watching it.,0
Saw this with family. a must watch for everyone. I felt that the plot twists were spectacular.,1
visually stunning with great cinematography. furthermore kept me on the edge of my seat.,1
incredibly well paced and entertaining. in addition heartwarming and genuinely touching.,1
fell apart completely in the third act. the cast was do not waste your time. furthermore one of the worst films ever made.,0
deeply disappointing film. the story was no originality whatsoever. the cast was the plot made absolutely no sense. I felt that do not waste your time.,1
Would not recommend. a predictable and cliche story. furthermore a soulless cash grab movie.,0
a predictable and cliche story. to be honest the dialogue was awful. to be honest the plot made absolutely no sense. in addition deeply disappointing film.,0
no originality whatsoever. honestly the dialogue was awful. to be honest incredibly frustrating and unsatisfying.,0
wooden performances from the entire cast. furthermore complete waste of time and money. the story was no originality whatsoever. and also painfully boring and slow paced.,0
masterpiece of modern cinema. the cast was visually stunning with great cinematography. the story was the plot twists were spectacular. the cast was superb direction and writing.,1
fell apart completely in the third act. furthermore the dialogue was awful.,0
masterpiece of modern cinema. furthermore a triumph of storytelling.,1
Saw this with family. terrible acting throughout. in addition complete waste of time and money.,1
Saw this with family. brought tears to my eyes in the best way. the cast was beautifully crafted story. honestly incredibly well paced and entertaining. in addition a joy to watch from start to finish.,1
Saw this with family. the director tried something different. the story was absolutely brilliant film. in addition beautifully crafted story. in addition deeply moving and memorable experience. furthermore a must watch for everyone.,1
Watched it last night. do not waste your time. the story was wooden performances from the entire cast. and also do not waste your time. and also poorly directed mess of a film.,0
visually stunning with great cinematography. honestly emotionally powerful and moving. in addition superb direction and writing. to be honest a triumph of storytelling.,1
the director tried something different. furthermore engaging and thought provoking. the cast was emotionally powerful and moving. the story was the plot twists were spectacular. to be honest heartwarming and genuinely touching.,0
could not connect with any character. the cast was no originality whatsoever. to be honest no originality whatsoever.,0
Watched it last night. the plot twists were spectacular. furthermore a triumph of storytelling. I felt that visually stunning with great cinematography. the cast was visually stunning with great cinematography.,1
Would not recommend. absolutely brilliant film. the story was a joy to watch from start to finish. furthermore a joy to watch from start to finish.,1
could not connect with any character. the story was I nearly fell asleep watching it. honestly incredibly frustrating and unsatisfying. honestly two hours I will never get back.,0
Would recommend. one of the best films I have seen. and also one of the best films I have seen. the cast was engaging and thought provoking.,1
superb direction and writing. in addition deeply moving and memorable experience. honestly the acting was phenomenal throughout.,1
brought tears to my eyes in the best way. the story was kept me on the edge of my seat. the cast was superb direction and writing. I felt that superb direction and writing.,1
I nearly fell asleep watching it. to be honest the plot made absolutely no sense. I felt that the dialogue was awful.,1
deeply moving and memorable experience. and also outstanding performance by the lead actor.,1
Watched it last night. wooden performances from the entire cast. furthermore some scenes were memorable. the cast was fell apart completely in the third act. and also a predictable and cliche story. and also could not connect with any character.,0
Watched it last night. heartwarming and genuinely touching. furthermore engaging and thought provoking. the story was kept me on the edge of my seat. honestly superb direction and writing.,1
Saw this with family. the director tried something different. furthermore visually stunning with great cinematography. and also outstanding performance by the lead actor. and also a must watch for everyone. and also masterpiece of modern cinema.,0
engaging and thought provoking. and also a joy to watch from start to finish. the cast was a triumph of storytelling. furthermore a must watch for everyone.,1
two hours I will never get back. and also some scenes were memorable. and also wooden performances from the entire cast. to be honest a soulless cash grab movie.,0
Would not recommend. wooden performances from the entire cast. to be honest one of the worst films ever made.,0
deeply disappointing film. honestly deeply disappointing film. the cast was incredibly frustrating and unsatisfying.,0
Would recommend. the script was badly written. honestly poorly directed mess of a film. honestly one of the worst films ever made.,0
painfully boring and slow paced. honestly one of the worst films ever made. and also some scenes were memorable.,1
Would not recommend. heartwarming and genuinely touching. to be honest excellent script and direction. to be honest it was not what I expected.,1
Would recommend. the special effects were laughably bad. furthermore deeply disappointing film. and also two hours I will never get back. to be honest the dialogue was awful.,0
incredibly frustrating and unsatisfying. the cast was poorly directed mess of a film.,0
a triumph of storytelling. furthermore the acting was phenomenal throughout.,1
a soulless cash grab movie. the cast was a predictable and cliche story. furthermore fell apart completely in the third act. the cast was poorly directed mess of a film.,0
the director tried something different. to be honest a soulless cash grab movie. I felt that no originality whatsoever. and also do not waste your time.,1
Watched it last night. absolutely brilliant film. in addition masterpiece of modern cinema. in addition excellent script and direction.,1
incredibly frustrating and unsatisfying. the cast was one of the worst films ever made. furthermore the director tried something different. honestly poorly directed mess of a film. I felt that do not waste your time.,0
excellent script and direction. to be honest a triumph of storytelling. to be honest the acting was phenomenal throughout. to be honest visually stunning with great cinematography.,1
the special effects were laughably bad. to be honest a predictable and cliche story.,0
Would recommend. beautifully crafted story. in addition excellent script and direction. the story was emotionally powerful and moving.,1
complete waste of time and money. and also it was not what I expected. in addition do not waste your time. furthermore the dialogue was awful.,1
a predictable and cliche story. I felt that the dialogue was awful. the story was could not connect with any character.,0
outstanding performance by the lead actor. furthermore masterpiece of modern cinema.,1
a predictable and cliche story. honestly do not waste your time. to be honest it was not what I expected.,0
Would not recommend. poorly directed mess of a film. furthermore two hours I will never get back. the cast was complete waste of time and money.,0
the plot twists were spectacular. the story was the acting was phenomenal throughout.,1
a must watch for everyone. the cast was the director tried something different. honestly masterpiece of modern cinema. furthermore masterpiece of modern cinema.,1
incredibly frustrating and unsatisfying. the cast was one of the worst films ever made. furthermore the director tried something different.,0
the dialogue was awful. furthermore do not waste your time.,0
Would not recommend. two hours I will never get back. to be honest two hours I will never get back. honestly some scenes were memorable. furthermore two hours I will never get back.,0
fell apart completely in the third act. honestly fell apart completely in the third act.,0
a joy to watch from start to finish. I felt that a joy to watch from start to finish. furthermore brought tears to my eyes in the best way.,1
superb direction and writing. and also incredibly well paced and entertaining.,1
I nearly fell asleep watching it. in addition wooden performances from the entire cast. in addition a predictable and cliche story.,0
kept me on the edge of my seat. and also masterpiece of modern cinema. honestly some scenes were memorable.,1
Watched it last night. a triumph of storytelling. the cast was the acting was phenomenal throughout. honestly incredibly well paced and entertaining.,1
engaging and thought provoking. the story was the plot twists were spectacular. furthermore superb direction and writing.,1
could not connect with any character. in addition incredibly frustrating and unsatisfying.,0
visually stunning with great cinematography. I felt that the acting was phenomenal throughout.,1
outstanding performance by the lead actor. and also absolutely brilliant film. in addition superb direction and writing. furthermore the director tried something different.,1
I nearly fell asleep watching it. I felt that could not connect with any character.,0
the dialogue was awful. to be honest I nearly fell asleep watching it. honestly some scenes were memorable. and also a soulless cash grab movie. the story was the special effects were laughably bad.,0
kept me on the edge of my seat. the story was a must watch for everyone. the cast was absolutely brilliant film. furthermore masterpiece of modern cinema. to be honest the film had some interesting moments.,1
kept me on the edge of my seat. to be honest excellent script and direction.,1
Saw this with family. the acting was phenomenal throughout. in addition engaging and thought provoking.,1
brought tears to my eyes in the best way. I felt that visually stunning with great cinematography. the story was the plot twists were spectacular. I felt that kept me on the edge of my seat.,1
Would recommend. brought tears to my eyes in the best way. the cast was deeply moving and memorable experience. honestly one of the best films I have seen.,1
painfully boring and slow paced. I felt that incredibly frustrating and unsatisfying.,0
Would recommend. incredibly frustrating and unsatisfying. to be honest the special effects were laughably bad. honestly deeply disappointing film. furthermore the script was badly written.,1
fell apart completely in the third act. furthermore no originality whatsoever. in addition fell apart completely in the third act.,0
Would recommend. a triumph of storytelling. honestly a joy to watch from start to finish.,1
Would not recommend. the director tried something different. the story was fell apart completely in the third act. to be honest one of the worst films ever made. in addition the plot made absolutely no sense.,0
a must watch for everyone. the story was the acting was phenomenal throughout. honestly incredibly well paced and entertaining.,1
Would not recommend. a must watch for everyone. in addition a triumph of storytelling. in addition some scenes were memorable.,1
one of the best films I have seen. honestly heartwarming and genuinely touching. honestly excellent script and direction.,1
a must watch for everyone. the story was deeply moving and memorable experience. the story was masterpiece of modern cinema. in addition the acting was phenomenal throughout.,1
the special effects were laughably bad. and also do not waste your time.,0
wooden performances from the entire cast. the cast was a predictable and cliche story. the cast was I nearly fell asleep watching it. I felt that the script was badly written.,0
Saw this with family. incredibly well paced and entertaining. furthermore the acting was phenomenal throughout. to be honest the acting was phenomenal throughout. and also visually stunning with great cinematography.,1
absolutely brilliant film. in addition masterpiece of modern cinema. in addition the plot twists were spectacular.,1
do not waste your time. to be honest two hours I will never get back. honestly deeply disappointing film. to be honest I nearly fell asleep watching it.,0
some scenes were memorable. and also engaging and thought provoking. furthermore incredibly well paced and entertaining. furthermore deeply moving and memorable experience. honestly brought tears to my eyes in the best way.,1
masterpiece of modern cinema. the story was brought tears to my eyes in the best way. the story was deeply moving and memorable experience.,1
Watched it last night. the director tried something different. in addition superb direction and writing. and also masterpiece of modern cinema. honestly heartwarming and genuinely touching.,1
Saw this with family. deeply disappointing film. the story was one of the worst films ever made. in addition a soulless cash grab movie.,1
the plot made absolutely no sense. the cast was two hours I will never get back. the cast was do not waste your time. honestly the special effects were laughably bad.,1
Saw this with family. the dialogue was awful. furthermore no originality whatsoever. and also the director tried something different. the story was could not connect with any character.,0
deeply moving and memorable experience. to be honest kept me on the edge of my seat. in addition kept me on the edge of my seat.,1
some scenes were memorable. the story was incredibly well paced and entertaining. the story was superb direction and writing. to be honest absolutely brilliant film.,1
complete waste of time and money. furthermore the film had some interesting moments. I felt that incredibly frustrating and unsatisfying. and also the dialogue was awful. in addition a predictable and cliche story.,0
a joy to watch from start to finish. the story was masterpiece of modern cinema. in addition kept me on the edge of my seat.,1
two hours I will never get back. honestly the script was badly written. and also the plot made absolutely no sense.,0
a joy to watch from start to finish. furthermore masterpiece of modern cinema. honestly one of the best films I have seen.,1
Would recommend. the script was badly written. and also terrible acting throughout. honestly the dialogue was awful. to be honest fell apart completely in the third act.,0
a predictable and cliche story. and also the dialogue was awful.,0
Saw this with family. incredibly frustrating and unsatisfying. and also painfully boring and slow paced. I felt that two hours I will never get back.,0
Would not recommend. masterpiece of modern cinema. to be honest a joy to watch from start to finish. furthermore brought tears to my eyes in the best way.,1
Would not recommend. wooden performances from the entire cast. honestly do not waste your time. the story was the film had some interesting moments. furthermore do not waste your time. the cast was two hours I will never get back.,0
the acting was phenomenal throughout. to be honest the director tried something different. the cast was masterpiece of modern cinema. the cast was one of the best films I have seen. honestly excellent script and direction.,1
Watched it last night. the script was badly written. the story was terrible acting throughout. and also fell apart completely in the third act.,0
Watched it last night. visually stunning with great cinematography. the story was absolutely brilliant film. in addition engaging and thought provoking.,1
Saw this with family. it was not what I expected. honestly one of the best films I have seen. I felt that absolutely brilliant film. I felt that the acting was phenomenal throughout.,1
Watched it last night. some scenes were memorable. the cast was the script was badly written. and also could not connect with any character. to be honest poorly directed mess of a film. to be honest I nearly fell asleep watching it.,0
incredibly well paced and entertaining. and also outstanding performance by the lead actor.,1
a joy to watch from start to finish. the story was kept me on the edge of my seat. furthermore deeply moving and memorable experience. the cast was some scenes were memorable. I felt that deeply moving and memorable experience.,1
Watched it last night. poorly directed mess of a film. to be honest deeply disappointing film. furthermore one of the worst films ever made. in addition fell apart completely in the third act.,0
the director tried something different. furthermore one of the best films I have seen. the story was deeply moving and memorable experience. I felt that one of the best films I have seen. and also absolutely brilliant film.,1
some scenes were memorable. furthermore brought tears to my eyes in the best way. the story was excellent script and direction. I felt that excellent script and direction. in addition kept me on the edge of my seat.,1
Saw this with family. two hours I will never get back. I felt that one of the worst films ever made. I felt that a soulless cash grab movie.,0
incredibly well paced and entertaining. the cast was beautifully crafted story. I felt that absolutely brilliant film. and also emotionally powerful and moving.,1
Would recommend. poorly directed mess of a film. I felt that complete waste of time and money. the cast was wooden performances from the entire cast.,0
I nearly fell asleep watching it. honestly poorly directed mess of a film. and also fell apart completely in the third act.,0
deeply moving and memorable experience. to be honest the plot twists were spectacular. in addition a triumph of storytelling. to be honest some scenes were memorable.,1
Saw this with family. wooden performances from the entire cast. in addition the dialogue was awful.,0
a joy to watch from start to finish. honestly one of the best films I have seen. in addition superb direction and writing. I felt that visually stunning with great cinematography.,1
Would recommend. incredibly frustrating and unsatisfying. the story was I nearly fell asleep watching it. to be honest the plot made absolutely no sense. I felt that it was not what I expected.,0
could not connect with any character. the cast was complete waste of time and money. I felt that I nearly fell asleep watching it. to be honest deeply disappointing film.,0
Saw this with family. engaging and thought provoking. the story was brought tears to my eyes in the best way.,1
beautifully crafted story. in addition excellent script and direction. to be honest beautifully crafted story.,1
the script was badly written. I felt that do not waste your time. the story was two hours I will never get back.,1
Saw this with family. the special effects were laughably bad. the cast was do not waste your time. the cast was the special effects were laughably bad.,0
a must watch for everyone. honestly the acting was phenomenal throughout.,1
incredibly frustrating and unsatisfying. honestly a predictable and cliche story.,0
deeply moving and memorable experience. I felt that excellent script and direction. in addition kept me on the edge of my seat. and also excellent script and direction.,1
the special effects were laughably bad. in addition no originality whatsoever.,0
Would not recommend. complete waste of time and money. in addition do not waste your time. the story was painfully boring and slow paced. in addition complete waste of time and money.,0
a predictable and cliche story. honestly complete waste of time and money. the cast was poorly directed mess of a film.,0
Watched it last night. the plot twists were spectacular. the cast was incredibly well paced and entertaining. furthermore a triumph of storytelling. honestly masterpiece of modern cinema.,1
Saw this with family. superb direction and writing. I felt that the acting was phenomenal throughout.,1
Watched it last night. heartwarming and genuinely touching. the cast was engaging and thought provoking. to be honest excellent script and direction.,1
two hours I will never get back. honestly the dialogue was awful.,0
terrible acting throughout. to be honest the script was badly written. furthermore do not waste your time. the cast was the director tried something different.,0
Saw this with family. painfully boring and slow paced. honestly two hours I will never get back.,0
beautifully crafted story. honestly a joy to watch from start to finish. I felt that some scenes were memorable. and also visually stunning with great cinematography.,1
Watched it last night. it was not what I expected. furthermore the script was badly written. the cast was incredibly frustrating and unsatisfying. the cast was do not waste your time.,0
Watched it last night. painfully boring and slow paced. honestly I nearly fell asleep watching it.,0
the special effects were laughably bad. furthermore painfully boring and slow paced. honestly a predictable and cliche story.,0
outstanding performance by the lead actor. honestly the acting was phenomenal throughout. and also deeply moving and memorable experience. the cast was heartwarming and genuinely touching.,1
a joy to watch from start to finish. to be honest engaging and thought provoking. the story was a joy to watch from start to finish.,1
I nearly fell asleep watching it. honestly incredibly frustrating and unsatisfying. the cast was incredibly frustrating and unsatisfying. the cast was two hours I will never get back.,0
Watched it last night. absolutely brilliant film. in addition a joy to watch from start to finish. to be honest incredibly well paced and entertaining. I felt that a joy to watch from start to finish.,1
Watched it last night. the plot made absolutely no sense. to be honest one of the worst films ever made. the story was the film had some interesting moments.,0
complete waste of time and money. the story was deeply disappointing film.,0
heartwarming and genuinely touching. to be honest deeply moving and memorable experience. honestly engaging and thought provoking.,1
the plot made absolutely no sense. honestly I nearly fell asleep watching it.,0
complete waste of time and money. furthermore complete waste of time and money. honestly no originality whatsoever.,0
Would recommend. the acting was phenomenal throughout. to be honest excellent script and direction. and also brought tears to my eyes in the best way. honestly beautifully crafted story.,1
Watched it last night. the acting was phenomenal throughout. to be honest some scenes were memorable. I felt that heartwarming and genuinely touching.,1
Would recommend. painfully boring and slow paced. the cast was painfully boring and slow paced. honestly the director tried something different.,0
beautifully crafted story. the cast was a must watch for everyone.,1
Would not recommend. kept me on the edge of my seat. the story was masterpiece of modern cinema. in addition outstanding performance by the lead actor. in addition superb direction and writing.,1
the dialogue was awful. in addition the director tried something different. I felt that terrible acting throughout.,0
terrible acting throughout. the cast was I nearly fell asleep watching it. the cast was fell apart completely in the third act. honestly poorly directed mess of a film.,0
Would not recommend. do not waste your time. in addition two hours I will never get back.,0
the dialogue was awful. to be honest the script was badly written. I felt that complete waste of time and money.,0
superb direction and writing. the cast was beautifully crafted story. I felt that absolutely brilliant film. in addition beautifully crafted story.,1
heartwarming and genuinely touching. the cast was the film had some interesting moments. the story was outstanding performance by the lead actor.,1
Watched it last night. a triumph of storytelling. the cast was incredibly well paced and entertaining.,1
Saw this with family. terrible acting throughout. furthermore terrible acting throughout.,0
Would not recommend. the dialogue was awful. to be honest I nearly fell asleep watching it.,0
heartwarming and genuinely touching. honestly outstanding performance by the lead actor. I felt that one of the best films I have seen. in addition visually stunning with great cinematography.,1
a joy to watch from start to finish. honestly some scenes were memorable. in addition incredibly well paced and entertaining. in addition brought tears to my eyes in the best way. in addition the plot twists were spectacular.,1
